,original_longitude,original_latitude
188,174.7706803,-36.8539487
189,174.7706805,-36.8539495
190,174.770681,-36.8539506
191,174.7706822,-36.8539518
192,174.7706819,-36.8539524
193,174.7706813,-36.853953
194,174.7706811,-36.8539539
195,174.7706813,-36.8539551
196,174.7706817,-36.8539564
197,174.7706834,-36.853958
198,174.7706849,-36.8539582
199,174.7706868,-36.8539583
200,174.7706869,-36.8539587
201,174.7706872,-36.853959
202,174.7706872,-36.8539588
203,174.7706872,-36.8539589
204,174.7706874,-36.8539584
205,174.7706865,-36.853959
206,174.7706867,-36.8539602
207,174.7706865,-36.8539612
208,174.7706866,-36.8539623
209,174.7706869,-36.8539632
210,174.7706879,-36.8539634
211,174.7706882,-36.8539652
212,174.7706888,-36.8539668
213,174.7706894,-36.8539691
214,174.7706898,-36.8539712
215,174.7706903,-36.8539738
216,174.7706908,-36.8539763
217,174.7706907,-36.853978
218,174.7706903,-36.8539794
219,174.7706905,-36.8539791
220,174.770691,-36.8539798
221,174.7706914,-36.85398
222,174.7706919,-36.8539809
223,174.7706942,-36.8539815
224,174.7706957,-36.8539819
225,174.7706989,-36.8539818
226,174.7707028,-36.853982
227,174.7707087,-36.853983
228,174.7707138,-36.853984
229,174.7707184,-36.8539812
230,174.7707227,-36.853979
231,174.7707257,-36.8539773
232,174.77073,-36.8539749
233,174.770733,-36.8539733
234,174.7707367,-36.8539742
235,174.7707538,-36.853981
236,174.7707762,-36.8539829
237,174.7707968,-36.8539891
238,174.7708199,-36.8539929
239,174.7708317,-36.8540174
240,174.7708639,-36.8540362
241,174.7708917,-36.8540501
242,174.770917,-36.8540536
243,174.77094,-36.8540503
244,174.7709471,-36.8540545
245,174.7709886,-36.8540262
246,174.77103,-36.8540047
247,174.7710651,-36.8539881
248,174.7710982,-36.8539638
249,174.7711385,-36.8539472
250,174.7711936,-36.8539203
251,174.7712576,-36.8538873
252,174.7713195,-36.8538549
253,174.7713745,-36.853821
254,174.7714191,-36.8537825
255,174.7714706,-36.8537515
256,174.7715157,-36.8537132
257,174.7715578,-36.8536689
258,174.7715919,-36.8536294
259,174.7716267,-36.8535887
260,174.7716541,-36.853552
261,174.7716826,-36.8535122
262,174.7717046,-36.853466
263,174.771735,-36.8534229
264,174.7717705,-36.8533896
265,174.7718077,-36.8533681
266,174.7718486,-36.8533469
267,174.771891,-36.8533249
268,174.7719647,-36.8532899
269,174.7720226,-36.8532725
270,174.7720689,-36.8532541
271,174.7721332,-36.8532347
272,174.7722003,-36.8532173
273,174.7722761,-36.853193
274,174.7723463,-36.8531676
275,174.772416,-36.8531421
276,174.7724801,-36.8531195
277,174.7725504,-36.8530962
278,174.7726119,-36.8530796
279,174.7726793,-36.8530578
280,174.7727441,-36.8530358
281,174.772806,-36.8530119
282,174.7728728,-36.8529785
283,174.7729303,-36.8529432
284,174.7729807,-36.8529065
285,174.7730239,-36.8528734
286,174.7730701,-36.852839
287,174.7731143,-36.8528012
288,174.7731529,-36.8527613
289,174.7731911,-36.8527211
290,174.7732265,-36.8526846
291,174.7732572,-36.8526515
292,174.7732884,-36.8526256
293,174.7733357,-36.8525937
294,174.7733672,-36.8525698
295,174.7733925,-36.8525455
296,174.7734288,-36.8525238
297,174.7734536,-36.8525142
298,174.7734891,-36.8525069
299,174.7735234,-36.8525004
300,174.773543,-36.8524972
