Longitude,Latitude
174.7686170000000061008904594928026199340820312500000000000000000000000000000000000000000000000000000000,-36.8540599999999969327291182707995176315307617187500000000000000000000000000000000000000000000000000000
174.7685669999999902302079135552048683166503906250000000000000000000000000000000000000000000000000000000,-36.8540050000000007912603905424475669860839843750000000000000000000000000000000000000000000000000000000
174.7685930000000098516466096043586730957031250000000000000000000000000000000000000000000000000000000000,-36.8540339999999986275724950246512889862060546875000000000000000000000000000000000000000000000000000000
174.7685859999999991032382240518927574157714843750000000000000000000000000000000000000000000000000000000,-36.8540259999999975093487591948360204696655273437500000000000000000000000000000000000000000000000000000
174.7684659999999894353095442056655883789062500000000000000000000000000000000000000000000000000000000000,-36.8539400000000014756551536265760660171508789062500000000000000000000000000000000000000000000000000000
174.7684629999999970095814205706119537353515625000000000000000000000000000000000000000000000000000000000,-36.8539430000000010068106348626315593719482421875000000000000000000000000000000000000000000000000000000
174.7684439999999881365511100739240646362304687500000000000000000000000000000000000000000000000000000000,-36.8539609999999981937435222789645195007324218750000000000000000000000000000000000000000000000000000000
174.7684399999999982355802785605192184448242187500000000000000000000000000000000000000000000000000000000,-36.8539650000000023055690689943730831146240234375000000000000000000000000000000000000000000000000000000
174.7684309999999925366864772513508796691894531250000000000000000000000000000000000000000000000000000000,-36.8539740000000008990355127025395631790161132812500000000000000000000000000000000000000000000000000000
174.7684270000000026357156457379460334777832031250000000000000000000000000000000000000000000000000000000,-36.8539779999999979054337018169462680816650390625000000000000000000000000000000000000000000000000000000
174.7684189999999944120645523071289062500000000000000000000000000000000000000000000000000000000000000000,-36.8539859999999990236574376467615365982055664062500000000000000000000000000000000000000000000000000000
174.7684000000000139607436722144484519958496093750000000000000000000000000000000000000000000000000000000,-36.8540050000000007912603905424475669860839843750000000000000000000000000000000000000000000000000000000
174.7683930000000032123352866619825363159179687500000000000000000000000000000000000000000000000000000000,-36.8540119999999973288140608929097652435302734375000000000000000000000000000000000000000000000000000000
174.7683769999999867650330998003482818603515625000000000000000000000000000000000000000000000000000000000,-36.8540279999999995652615325525403022766113281250000000000000000000000000000000000000000000000000000000
174.7683680000000094878487288951873779296875000000000000000000000000000000000000000000000000000000000000,-36.8540369999999981587279762607067823410034179687500000000000000000000000000000000000000000000000000000
174.7683600000000012641976354643702507019042968750000000000000000000000000000000000000000000000000000000,-36.8540449999999992769517120905220508575439453125000000000000000000000000000000000000000000000000000000
174.7683499999999980900611262768507003784179687500000000000000000000000000000000000000000000000000000000,-36.8540550000000024510882212780416011810302734375000000000000000000000000000000000000000000000000000000
174.7683440000000132386048790067434310913085937500000000000000000000000000000000000000000000000000000000,-36.8540610000000015133991837501525878906250000000000000000000000000000000000000000000000000000000000000
174.7683360000000050149537855759263038635253906250000000000000000000000000000000000000000000000000000000,-36.8540690000000026316229195799678564071655273437500000000000000000000000000000000000000000000000000000
174.7683189999999910924088908359408378601074218750000000000000000000000000000000000000000000000000000000,-36.8540860000000023433130991179496049880981445312500000000000000000000000000000000000000000000000000000
174.7683110000000112904672278091311454772949218750000000000000000000000000000000000000000000000000000000,-36.8540940000000034615368349477648735046386718750000000000000000000000000000000000000000000000000000000
174.7683049999999980173015501350164413452148437500000000000000000000000000000000000000000000000000000000,-36.8541000000000025238477974198758602142333984375000000000000000000000000000000000000000000000000000000
174.7683959999999956380634102970361709594726562500000000000000000000000000000000000000000000000000000000,-36.8541999999999987380761012900620698928833007812500000000000000000000000000000000000000000000000000000
174.7684010000000114359863800927996635437011718750000000000000000000000000000000000000000000000000000000,-36.8542059999999978003870637621730566024780273437500000000000000000000000000000000000000000000000000000
174.7684069999999962874426273629069328308105468750000000000000000000000000000000000000000000000000000000,-36.8542139999999989186107995919883251190185546875000000000000000000000000000000000000000000000000000000
174.7684169999999994615791365504264831542968750000000000000000000000000000000000000000000000000000000000,-36.8542259999999970432327245362102985382080078125000000000000000000000000000000000000000000000000000000
174.7684250000000076852302299812436103820800781250000000000000000000000000000000000000000000000000000000,-36.8542360000000002173692337237298488616943359375000000000000000000000000000000000000000000000000000000
174.7684299999999950614437693729996681213378906250000000000000000000000000000000000000000000000000000000,-36.8542429999999967549229040741920471191406250000000000000000000000000000000000000000000000000000000000
174.7684309999999925366864772513508796691894531250000000000000000000000000000000000000000000000000000000,-36.8542429999999967549229040741920471191406250000000000000000000000000000000000000000000000000000000000
174.7684380000000032850948628038167953491210937500000000000000000000000000000000000000000000000000000000,-36.8542529999999999290594132617115974426269531250000000000000000000000000000000000000000000000000000000
174.7684399999999982355802785605192184448242187500000000000000000000000000000000000000000000000000000000,-36.8542550000000019849721866194158792495727539062500000000000000000000000000000000000000000000000000000
174.7684450000000140335032483562827110290527343750000000000000000000000000000000000000000000000000000000,-36.8542619999999985225258569698780775070190429687500000000000000000000000000000000000000000000000000000
174.7684490000000039344740798696875572204589843750000000000000000000000000000000000000000000000000000000,-36.8542660000000026343514036852866411209106445312500000000000000000000000000000000000000000000000000000
174.7684539999999913106876192614436149597167968750000000000000000000000000000000000000000000000000000000,-36.8542729999999991719050740357488393783569335937500000000000000000000000000000000000000000000000000000
174.7684730000000001837179297581315040588378906250000000000000000000000000000000000000000000000000000000,-36.8542970000000025265762815251946449279785156250000000000000000000000000000000000000000000000000000000
174.7684859999999957835825625807046890258789062500000000000000000000000000000000000000000000000000000000,-36.8543120000000001823536877054721117019653320312500000000000000000000000000000000000000000000000000000
174.7685069999999996070982888340950012207031250000000000000000000000000000000000000000000000000000000000,-36.8543390000000030681803764309734106063842773437500000000000000000000000000000000000000000000000000000
174.7685160000000053059920901432633399963378906250000000000000000000000000000000000000000000000000000000,-36.8543499999999966121322358958423137664794921875000000000000000000000000000000000000000000000000000000
174.7685209999999926822056295350193977355957031250000000000000000000000000000000000000000000000000000000,-36.8543560000000027798705559689551591873168945312500000000000000000000000000000000000000000000000000000
